Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	en3	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	en5	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	en6	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	en7	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	En4	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	Enrique	783	1	56726	783	783	783	783	1	56726	783	783	783	783	783	1	56726	783	816	816	816	816	1	56693	816	0			0			0	56693	57509	57,08	44,46													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	erecto	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	eruopa	316	1	34392	316	316	316	316	1	34392	316	316	316	316	316	1	34392	316	350	350	350	350	1	34359	350	0			0			0	34359	34709	44,55	37,59													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	es	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	es2	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	escritos	217	2	51930	217	108	100	117	2	51930	117	217	108	100	117	2	51930	117	266	133	133	133	2	51913	133	0			0			0	51913	76712	30,63	36,17													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	España	183	1	9360	183	183	183	183	1	9360	183	183	183	183	183	1	9360	183	217	217	217	217	1	9327	217	0			0			0	9327	9544	56,25	50,14													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	España1	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	españoles	200	1	35775	200	200	200	200	1	35775	200	200	200	200	200	1	35775	200	217	217	217	217	1	35758	217	0			0			0	35758		38,88														
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	especie	350	2	7978	350	175	167	183	2	7978	167	350	175	167	183	2	7978	167	400	200	200	200	2	7945	200	0			0			0	7945	10926	56,53	240,85													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	esta	183	1	29612	0				0			183	183	183	183	1	29612	183	200	200	200	200	1	29596	200	0			0			0	29596		33,5														
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	estacion	2032	2	66719	2032	1016	833	1199	2	66719	833	2032	1016	833	1199	2	66719	833	2098	1049	866	1232	2	66686	866	0			0			0	71199	67552	38,65	43,75													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	estrella	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	expandio	533	2	34192	533	266	167	366	2	34192	167	533	266	167	366	2	34192	167	583	291	183	400	2	34176	183	0			0			0	49048	34359	577,01	44,55													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	familia	167	1	10276	167	167	167	167	1	10276	167	167	167	167	167	1	10276	167	183	183	183	183	1	10260	183	0			0			0		10443		53,14													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	Filipinas	899	3	317	899	300	150	466	3	317	150	899	300	150	466	3	317	150	1033	344	200	500	3	267	200	0			0			0	267	467	389,54	219,11													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	flores	516	1	41987	516	516	516	516	1	41987	516	516	516	516	516	1	41987	516	550	550	550	550	1	41953	550	0			0			0	41953	42503	44,02	30,35													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	forrajera	849	1	45301	849	849	849	849	1	45301	849	849	849	849	849	1	45301	849	883	883	883	883	1	45268	883	0			0			0	45268	46150	66,85	45,65													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	francés	433	1	54178	0				0			433	433	433	433	1	54178	433	500	500	500	500	1	54111	500	0			0			0	54111		252,8														
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	fría	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	fue1	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	Fue	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	gastronomico	533	1	42520	533	533	533	533	1	42520	533	533	533	533	533	1	42520	533	550	550	550	550	1	42503	550	0			0			0	42503	43053	30,35	33,4													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	genero	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	gracias	1016	1	50897	1016	1016	1016	1016	1	50897	1016	1016	1016	1016	1016	1	50897	1016	1049	1049	1049	1049	1	50864	1049	0			0			0	50864	51913	42,51	30,63													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	GuineaEcuatorial	333	1	6046	333	333	333	333	1	6046	333	333	333	333	333	1	6046	333	350	350	350	350	1	6029	350	0			0			0	6029	6379	36,76	32,67													
