Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	eruopa	533	3	20132	533	178	167	183	3	20132	167	533	178	167	183	3	20132	167	650	217	200	233	3	20099	200	0			0			0	20099	20299	58,2	45,48													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	es	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	es2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	escritos	217	1	32640	217	217	217	217	1	32640	217	217	217	217	217	1	32640	217	250	250	250	250	1	32606	250	0			0			0	32606	32856	56,93	60,1													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	España	583	3	7658	583	194	150	233	3	7658	150	583	194	150	233	3	7658	150	699	233	183	266	3	7624	183	0			0			0	7624	7808	38,49	40,51													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	España1	183	1	34422	183	183	183	183	1	34422	183	183	183	183	183	1	34422	183	217	217	217	217	1	34388	217	0			0			0	34388	34605	52,48	75,41													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	españoles	699	3	20715	699	233	200	250	3	20715	250	699	233	200	250	3	20715	250	799	266	233	283	3	20682	283	0			0			0	20682	20965	65,79	56,79													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	especie	83	1	10189	83	83	83	83	1	10189	83	83	83	83	83	1	10189	83	100	100	100	100	1	10173	100	0			0			0	10173	10272	37,33	447,33													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	esta	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	estacion	0	0		0				0			0				0			0				0			0			0			0																	
