AOI,Oscuro_Total,Oscuro_Mean,Oscuro_Std,Claro_Total,Claro_Mean,Claro_Std,t_statistic,p_value,Significant,Difference_%
ColumnaIzquierdaImagenes,7.0,0.20588235294117646,0.4785971776630355,0.0,0.0,0.0,2.5083518082147727,0.014594993494445478,Yes,0.0
un5,7.0,0.20588235294117646,0.4785971776630355,0.0,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
una1,7.0,0.20588235294117646,0.47859717766303556,0.0,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
rapido,7.0,0.20588235294117646,0.4785971776630355,0.0,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
desde,0.0,0.0,0.0,7.0,0.20588235294117646,0.4785971776630355,-2.508351808214772,0.014594993494445485,Yes,-100.0
cuenta2,7.0,0.20588235294117646,0.4785971776630355,0.0,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
mochila6,7.0,0.20588235294117646,0.4785971776630355,0.0,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
Además,7.0,0.20588235294117646,0.4785971776630355,0.0,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
años,0.0,0.0,0.0,7.0,0.20588235294117646,0.47859717766303556,-2.508351808214772,0.014594993494445485,Yes,-100.0
su2,0.0,0.0,0.0,7.0,0.20588235294117646,0.47859717766303556,-2.508351808214772,0.014594993494445485,Yes,-100.0
cómoda12,7.0,0.20588235294117646,0.47859717766303556,0.0,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
hace2,7.0,0.20588235294117646,0.4785971776630355,0.0,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
con3,7.0,0.20588235294117646,0.4785971776630355,0.0,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
por2,0.0,0.0,0.0,7.0,0.20588235294117646,0.4785971776630355,-2.508351808214772,0.014594993494445485,Yes,-100.0
afincado,0.0,0.0,0.0,7.0,0.20588235294117646,0.4785971776630355,-2.508351808214772,0.014594993494445485,Yes,-100.0
larga,9.0,0.2647058823529412,0.6183469424008423,0.0,0.0,0.0,2.4961508830135313,0.01506067232299157,Yes,0.0
espacio,9.0,0.2647058823529412,0.6183469424008423,0.0,0.0,0.0,2.4961508830135313,0.01506067232299157,Yes,0.0
seguridad2,9.0,0.2647058823529412,0.6183469424008423,0.0,0.0,0.0,2.4961508830135313,0.01506067232299157,Yes,0.0
ajustables,9.0,0.2647058823529412,0.6183469424008423,0.0,0.0,0.0,2.4961508830135313,0.01506067232299157,Yes,0.0
botella,9.0,0.2647058823529412,0.6183469424008423,0.0,0.0,0.0,2.4961508830135313,0.01506067232299157,Yes,0.0
